"Time of Day","Process Name","PID","Operation","Path","Result","Detail"
"13:43:32,2858481","System","4","ReadFile","C:\vesperia\vesperia.ori\map.svo","SUCCESS","Offset: 461.960.288, Length: 2.976"
"13:43:32,2859058","System","4","ReadFile","C:\vesperia\vesperia.ori\map.svo","SUCCESS","Offset: 462.028.800, Length: 65.536, I/O Flags: Non-cached, Paging I/O, Synchronous Paging I/O"
"13:43:32,2926832","System","4","ReadFile","C:\vesperia\vesperia.ori\map.svo","SUCCESS","Offset: 461.963.264, Length: 4.256"
"13:43:32,2994308","System","4","ReadFile","C:\vesperia\vesperia.ori\map.svo","SUCCESS","Offset: 461.967.520, Length: 4.256"
"13:43:32,3347722","System","4","ReadFile","C:\vesperia\vesperia.ori\map.svo","SUCCESS","Offset: 461.971.776, Length: 4.256"
"13:43:32,3636159","System","4","ReadFile","C:\vesperia\vesperia.ori\map.svo","SUCCESS","Offset: 461.976.032, Length: 4.256"
"13:43:32,4039828","System","4","ReadFile","C:\vesperia\vesperia.ori\map.svo","SUCCESS","Offset: 461.980.288, Length: 4.256"
"13:43:32,4101036","System","4","ReadFile","C:\vesperia\vesperia.ori\map.svo","SUCCESS","Offset: 461.984.544, Length: 4.256"
"13:43:32,4302119","System","4","ReadFile","C:\vesperia\vesperia.ori\map.svo","SUCCESS","Offset: 461.988.800, Length: 4.256"
"13:43:32,4404375","System","4","ReadFile","C:\vesperia\vesperia.ori\map.svo","SUCCESS","Offset: 461.993.056, Length: 2.976"
"13:43:32,4485917","System","4","ReadFile","C:\vesperia\vesperia.ori\map.svo","SUCCESS","Offset: 461.996.032, Length: 4.256"
"13:43:32,4599779","System","4","ReadFile","C:\vesperia\vesperia.ori\map.svo","SUCCESS","Offset: 462.000.288, Length: 4.256"
"13:43:32,4658729","System","4","ReadFile","C:\vesperia\vesperia.ori\map.svo","SUCCESS","Offset: 462.004.544, Length: 4.256"
"13:43:32,4858051","System","4","ReadFile","C:\vesperia\vesperia.ori\map.svo","SUCCESS","Offset: 462.008.800, Length: 4.256"
"13:43:32,5171225","System","4","ReadFile","C:\vesperia\vesperia.ori\map.svo","SUCCESS","Offset: 462.013.056, Length: 4.256"
"13:43:32,5243056","System","4","ReadFile","C:\vesperia\vesperia.ori\map.svo","SUCCESS","Offset: 462.017.312, Length: 4.256"
"13:43:32,5303871","System","4","ReadFile","C:\vesperia\vesperia.ori\map.svo","SUCCESS","Offset: 462.021.568, Length: 4.256"
"13:43:32,5594465","System","4","ReadFile","C:\vesperia\vesperia.ori\map.svo","SUCCESS","Offset: 462.025.824, Length: 2.976"
"13:43:32,5594869","System","4","ReadFile","C:\vesperia\vesperia.ori\map.svo","SUCCESS","Offset: 462.094.336, Length: 65.536, I/O Flags: Non-cached, Paging I/O, Synchronous Paging I/O"
"13:43:32,5646609","System","4","ReadFile","C:\vesperia\vesperia.ori\map.svo","SUCCESS","Offset: 462.028.800, Length: 4.256"
"13:43:32,5748889","System","4","ReadFile","C:\vesperia\vesperia.ori\map.svo","SUCCESS","Offset: 462.033.056, Length: 4.256"
"13:43:32,5895155","System","4","ReadFile","C:\vesperia\vesperia.ori\map.svo","SUCCESS","Offset: 462.037.312, Length: 4.256"
"13:43:32,5999298","System","4","ReadFile","C:\vesperia\vesperia.ori\map.svo","SUCCESS","Offset: 462.041.568, Length: 4.256"
"13:43:32,6984300","System","4","ReadFile","C:\vesperia\vesperia.ori\map.svo","SUCCESS","Offset: 462.045.824, Length: 4.256"
"13:43:32,7986252","System","4","ReadFile","C:\vesperia\vesperia.ori\map.svo","SUCCESS","Offset: 462.050.080, Length: 4.256"
"13:43:32,8260360","System","4","ReadFile","C:\vesperia\vesperia.ori\map.svo","SUCCESS","Offset: 462.054.336, Length: 4.256"
"13:43:32,8305063","System","4","ReadFile","C:\vesperia\vesperia.ori\map.svo","SUCCESS","Offset: 462.058.592, Length: 2.976"
"13:43:32,8408772","System","4","ReadFile","C:\vesperia\vesperia.ori\map.svo","SUCCESS","Offset: 462.061.568, Length: 4.256"
"13:43:32,8523995","System","4","ReadFile","C:\vesperia\vesperia.ori\map.svo","SUCCESS","Offset: 462.065.824, Length: 4.256"
"13:43:32,8576555","System","4","ReadFile","C:\vesperia\vesperia.ori\map.svo","SUCCESS","Offset: 462.070.080, Length: 4.256"
"13:43:32,8773204","System","4","ReadFile","C:\vesperia\vesperia.ori\map.svo","SUCCESS","Offset: 462.074.336, Length: 4.256"
"13:43:32,8850004","System","4","ReadFile","C:\vesperia\vesperia.ori\map.svo","SUCCESS","Offset: 462.078.592, Length: 4.256"
"13:43:32,8956049","System","4","ReadFile","C:\vesperia\vesperia.ori\map.svo","SUCCESS","Offset: 462.082.848, Length: 4.256"
"13:43:32,9020239","System","4","ReadFile","C:\vesperia\vesperia.ori\map.svo","SUCCESS","Offset: 462.087.104, Length: 4.256"
"13:43:32,9112549","System","4","ReadFile","C:\vesperia\vesperia.ori\map.svo","SUCCESS","Offset: 462.091.360, Length: 2.976"
