"Time of Day","Process Name","PID","Operation","Path","Result","Detail"
"13:20:28,1537173","System","4","ReadFile","C:\vesperia\vesperia.ori\default.xex","SUCCESS","Offset: 0, Length: 4.256, I/O Flags: Synchronous"
"13:20:28,1539695","System","4","ReadFile","C:\vesperia\vesperia.ori\default.xex","SUCCESS","Offset: 0, Length: 8.192, I/O Flags: Non-cached, Paging I/O, Synchronous Paging I/O"
"13:20:29,2892095","System","4","ReadFile","C:\vesperia\vesperia.ori\default.xex","SUCCESS","Offset: 8.192, Length: 65.536, I/O Flags: Non-cached, Paging I/O, Synchronous Paging I/O"
"13:20:29,2956833","System","4","ReadFile","C:\vesperia\vesperia.ori\default.xex","SUCCESS","Offset: 4.256, Length: 4.256"
"13:20:29,5577462","System","4","ReadFile","C:\vesperia\vesperia.ori\default.xex","SUCCESS","Offset: 73.728, Length: 57.344, I/O Flags: Non-cached, Paging I/O, Synchronous Paging I/O"
"13:20:29,5626509","System","4","ReadFile","C:\vesperia\vesperia.ori\default.xex","SUCCESS","Offset: 8.512, Length: 4.256"
"13:20:29,5674074","System","4","ReadFile","C:\vesperia\vesperia.ori\default.xex","SUCCESS","Offset: 12.768, Length: 4.256"
"13:20:29,5895411","System","4","ReadFile","C:\vesperia\vesperia.ori\default.xex","SUCCESS","Offset: 17.024, Length: 4.256"
"13:20:29,6175047","System","4","ReadFile","C:\vesperia\vesperia.ori\default.xex","SUCCESS","Offset: 21.280, Length: 4.256"
"13:20:29,6216781","System","4","ReadFile","C:\vesperia\vesperia.ori\default.xex","SUCCESS","Offset: 25.536, Length: 4.256"
"13:20:29,6534716","System","4","ReadFile","C:\vesperia\vesperia.ori\default.xex","SUCCESS","Offset: 29.792, Length: 4.256"
"13:20:29,6670233","System","4","ReadFile","C:\vesperia\vesperia.ori\default.xex","SUCCESS","Offset: 34.048, Length: 4.256"
"13:20:29,6752945","System","4","ReadFile","C:\vesperia\vesperia.ori\default.xex","SUCCESS","Offset: 38.304, Length: 4.256"
"13:20:29,6809539","System","4","ReadFile","C:\vesperia\vesperia.ori\default.xex","SUCCESS","Offset: 42.560, Length: 4.256"
"13:20:29,6863222","System","4","ReadFile","C:\vesperia\vesperia.ori\default.xex","SUCCESS","Offset: 46.816, Length: 4.256"
"13:20:29,6917605","System","4","ReadFile","C:\vesperia\vesperia.ori\default.xex","SUCCESS","Offset: 51.072, Length: 4.256"
"13:20:29,7016458","System","4","ReadFile","C:\vesperia\vesperia.ori\default.xex","SUCCESS","Offset: 55.328, Length: 4.256"
"13:20:29,7087931","System","4","ReadFile","C:\vesperia\vesperia.ori\default.xex","SUCCESS","Offset: 59.584, Length: 4.256"
"13:20:29,7159620","System","4","ReadFile","C:\vesperia\vesperia.ori\default.xex","SUCCESS","Offset: 63.840, Length: 1.696"
"13:20:29,7160201","System","4","ReadFile","C:\vesperia\vesperia.ori\default.xex","SUCCESS","Offset: 131.072, Length: 65.536, I/O Flags: Non-cached, Paging I/O, Synchronous Paging I/O"
