C:\vesperia\vesperia.ori\default.xex: 0, 4256
C:\vesperia\vesperia.ori\lib_data\shader.dat: 0, 4256
C:\vesperia\vesperia.ori\lib_data\syspack.dat: 0, 4256 : SYSTEX.TXV
C:\vesperia\vesperia.ori\lib_data\syspack.dat: 8192, 2100 : SYS_HSV_PARAM.DAT
C:\vesperia\vesperia.ori\lib_data\syspack.dat: 4256, 4256 : SYSTEX.TXM
C:\vesperia\vesperia.ori\lib_data\syspack.dav: 0, 4256
C:\vesperia\vesperia.ori\chat.svo: 131072, 65536 : CHATNO999.DAT
C:\vesperia\vesperia.ori\mg.svo: 4096, 2048 : MG2.DAT
C:\vesperia\vesperia.ori\ai.svo: 69632, 61440 : APH_D06.DAT
C:\vesperia\vesperia.ori\chara.svo: 131072, 65536 : AHO_C.DAT
C:\vesperia\vesperia.ori\common.svo: 4096, 65536 : EVENTMAPDEF.DAT
C:\vesperia\vesperia.ori\cook.svo: 4096, 8192 : COOKDATA.BIN
C:\vesperia\vesperia.ori\effect.svo: 131072, 65536 : 04.DAT
C:\vesperia\vesperia.ori\item.svo: 4096, 65536 : ITEM.DAT
C:\vesperia\vesperia.ori\map.svo: 69632, 61440 : AHOI00_00.DAT
C:\vesperia\vesperia.ori\menu.svo: 4096, 65536 : FAMEDATA.BIN
C:\vesperia\vesperia.ori\string.svo: 4096, 65536 : DUMMY.SO
C:\vesperia\vesperia.ori\UI.svo: 196608, 65536 : COMALL.TXV
C:\vesperia\vesperia.ori\language\string_dic_uk.so: 0, 4256
C:\vesperia\vesperia.ori\UI.svo: 32268288, 2048 : FONTTEX00.TXM
C:\vesperia\vesperia.ori\UI.svo: 32270336, 4256 : FONTTEX00.TXV
C:\vesperia\vesperia.ori\UI.svo: 36503552, 65536 : FONTTEX01.TXV
C:\vesperia\vesperia.ori\UI.svo: 82728960, 2048 : ICONBTN360.TXM
C:\vesperia\vesperia.ori\UI.svo: 82726912, 4096 : ICONATT.TXV
C:\vesperia\vesperia.ori\UI.svo: 82731008, 4256 : ICONBTN360.TXV
C:\vesperia\vesperia.ori\UI.svo: 83820544, 65536 : ICONBTN360DE.TXV
C:\vesperia\vesperia.ori\snd\config.bin: 0, 3040
